organization,key,name,tags,visibility,isNew,repo_url,eligibilityStatus,eligible
apache,apache_sling-scriptingbundle-maven-plugin,scriptingbundle-maven-plugin,['sling'],public,False,https://github.com/apache/sling-scriptingbundle-maven-plugin,,
onap,onap_aai-sparky-be,aai-sparky-be,[],public,False,,,
onap,onap_dcaegen2-services-pm-mapper,dcaegen2-services-pm-mapper,[],public,False,,,
onap,onap_clamp,clamp,[],public,False,,,
apache,roller-master,Roller,[],public,False,,,
apache,milagro,Apache Milagro,[],public,False,,,
apache,apache_sling-org-apache-sling-scripting-jsp-taglib,Apache Sling Scripting JSP Tag Library,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-scripting-jsp-taglib,,
onap,onap_portal,portal,[],public,False,,,
onap,onap_multicloud-framework-artifactbroker,multicloud-framework-artifactbroker,[],public,False,,,
apache,apache_incubator-milagro-MPC,apache_incubator-milagro-MPC,[],public,False,https://github.com/apache/incubator-milagro-MPC,COMPLETED,False
onap,onap_logging-analytics,logging-analytics,[],public,False,,,
onap,onap_ccsdk-apps,ccsdk-apps,[],public,False,,,
onap,onap_ccsdk-dashboard,ccsdk-dashboard,[],public,False,,,
apache,apache_sling-org-apache-sling-discovery-oak,Apache Sling Oak-Based Discovery Service,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-discovery-oak,,
apache,knox-gateway,gateway,[],public,False,,,
onap,onap_vfc-nfvo-wfengine-activiti-extension,vfc-nfvo-wfengine-activiti-extension,[],public,False,,,
onap,onap_ccsdk-features,ccsdk-features,[],public,False,,,
onap,onap_dcaegen2-platform-inventory-api,dcaegen2-platform-inventory-api,[],public,False,,,
onap,onap_sdnc-apps,sdnc-apps,[],public,False,,,
onap,onap_cli,cli,[],public,False,,,
apache,pdfbox-reactor,Apache PDFBox,[],public,False,,,
onap,onap_ccsdk-sli-adaptors,ccsdk-sli-adaptors,[],public,False,,,
onap,onap_ccsdk-sli-core,ccsdk-sli-core,[],public,False,,,
onap,onap_ccsdk-sli-northbound,ccsdk-sli-northbound,[],public,False,,,
onap,onap_dcaegen2-collectors-datafile,dcaegen2-collectors.datafile,[],public,False,,,
onap,onap_vfc-nfvo-driver-vnfm-gvnfm-gvnfmadapter,vfc-nfvo-driver-vnfm-gvnfm-gvnfmadapter,[],public,False,,,
apache,apache_sling-org-apache-sling-discovery-base,Apache Sling Discovery Base,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-discovery-base,,
apache,apache_sling-org-apache-sling-discovery-commons,Apache Sling Discovery Commons,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-discovery-commons,,
apache,apache_sling-org-apache-sling-engine,Apache Sling Engine Implementation,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-engine,,
apache,apache_sling-org-apache-sling-event,Apache Sling Event Support,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-event,,
apache,apache_sling-org-apache-sling-feature,Apache Sling Feature,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-feature,,
apache,apache_sling-org-apache-sling-feature-launcher,Apache Sling Feature Launcher,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-feature-launcher,,
apache,apache_sling-org-apache-sling-feature-analyser,Apache Sling Feature Model Analyser,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-feature-analyser,,
apache,org.apache.nemo:nemo-project,Nemo Project,[],public,False,https://github.com/apache/incubator-nemo,,
onap,onap_aai-spike,aai-spike,[],public,False,,,
onap,onap_aai-traversal,aai-traversal,[],public,False,,,
onap,onap_vid,vid,[],public,False,,,
onap,onap_dmaap-messagerouter-messageservice,dmaap-messagerouter-messageservice,[],public,False,,,
onap,onap_vfc-gvnfm-vnfres-res,vfc-gvnfm-vnfres-res,[],public,False,,,
onap,onap_vnfsdk-functest,vnfsdk-functest,[],public,False,,,
onap,onap_ccsdk-sli-plugins,ccsdk-sli-plugins,[],public,False,,,
onap,onap_holmes-engine-management,holmes-engine-management,[],public,False,,,
onap,onap_holmes-rule-management,holmes-rule-management,[],public,False,,,
apache,apache_sling-jspc-maven-plugin,Apache Sling JSPC Maven Plugin,['sling'],public,False,https://github.com/apache/sling-jspc-maven-plugin,,
onap,onap_msb-apigateway,msb-apigateway,[],public,False,,,
onap,onap_vnfsdk-ves-agent,vnfsdk-ves-agent-vesjavalibrary,[],public,False,https://github.com/onap/vnfsdk-ves-agent,,
onap,onap_music,MUSIC,[],public,False,,,
onap,onap_vfc-gvnfm-vnflcm-lcm,vfc-gvnfm-vnflcm-lcm,[],public,False,,,
onap,onap_vvp-test-engine,vvp-test-engine,[],public,False,,,
apache,apache_sling-org-apache-sling-commons-threads,Apache Sling Commons Threads,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-commons-threads,,
onap,onap_holmes-common,holmes-common,[],public,False,,,
onap,onap_msb-discovery,msb-discovery,[],public,False,,,
onap,onap_msb-java-sdk,msb-java-sdk,[],public,False,,,
onap,onap_vfc-nfvo-multivimproxy,vfc-nfvo-multivimproxy,[],public,False,,,
onap,onap_vfc-nfvo-driver-vnfm-svnfm-zte,vfc-nfvo-driver-vnfm-svnfm-zte,[],public,False,,,
apache,apache_sling-org-apache-sling-testing-rules,Apache Sling Testing Rules,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-testing-rules,,
apache,apache_sling-org-apache-sling-commons-testing,Apache Sling Testing Utilities,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-commons-testing,,
apache,apache_sling-slingfeature-maven-plugin,Apache Sling OSGi Feature Maven Plugin,['sling'],public,False,https://github.com/apache/sling-slingfeature-maven-plugin,,
apache,apache_sling-org-apache-sling-commons-scheduler,Apache Sling Commons Scheduler Support,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-commons-scheduler,,
